source,target,anchor,notes
content/blog/aprire-partita-iva-freelance-italia-2025.mdx,/en/services/open-vat-number-italy,"open a VAT number in Italy","High intent; add on relevant section explaining VAT steps"
content/blog/aprire-partita-iva-freelance-italia-2025.mdx,/en/pillar/how-to-start-business-in-italy-2025,"how to start a business in Italy","Link Italian article to English pillar for international readers"
content/blog/come-aprire-unattivita-in-italia-da-straniero-guida-completa-2025.mdx,/en/pillar/how-to-start-business-in-italy-2025,"start business in Italy as a foreigner","Direct users to comprehensive pillar for procedural steps"
content/blog/come-aprire-unattivita-in-italia-da-straniero-guida-completa-2025.mdx,/en/country/us-entrepreneurs-italy,"US entrepreneurs in Italy","Suggest US-targeted country page (create if missing)"
content/blog/tasse-di-una-srl-guida-2025-per-nuovi-imprenditori-stranieri.mdx,/en/compare/srl-vs-partita-iva,"SRL vs Partita IVA","Comparison page for decision-stage traffic"
content/blog/tasse-di-una-srl-guida-2025-per-nuovi-imprenditori-stranieri.mdx,/en/services/tax-accounting-for-expats,"tax advisor for expats in Italy","Link to tax/accounting service landing"
content/blog/regime-impatriati-2025-vantaggi-fiscali-per-imprenditori-stranieri-in-italia.mdx,/en/pillar/how-to-start-business-in-italy-2025,"how to start a business in Italy","Tax-focused article linking to general pillar"
content/blog/how-to-open-business-italy-foreigner-complete-guide-2025.en.mdx,/en/services/open-company-italy,"open a company in Italy","English article -> English service landing (commercial)"
client/src/pages/Home.tsx,/en/pillar/how-to-start-business-in-italy-2025,"how to start a business in Italy","Prominent homepage link to pillar (hero/CTA area)"
client/src/pages/Blog.tsx,/en/pillar/how-to-start-business-in-italy-2025,"how to start a business in Italy","Feature pillar in blog listing/header"
content/blog/aprire-partita-iva-freelance-italia-2025.mdx,/en/tools/startup-cost-calculator,"costs to start a company in Italy","Link to cost calculator tool (lead magnet potential)"
content/blog/come-aprire-unattivita-in-italia-da-straniero-guida-completa-2025.mdx,/en/services/open-company-italy,"open a company in Italy","Add CTA link inside step-by-step section"
content/blog/taxes-of-an-srl-2025-guide-for-new-foreign-entrepreneurs.en.mdx,/en/services/tax-accounting-for-expats,"tax advisor for expats in Italy","From English tax article to accounting service"
content/blog/steuern-gmbh-leitfaden-2025-auslaendische-unternehmer.de.mdx,/en/country/de-entrepreneurs-italy,"Germany entrepreneurs in Italy","Link German article to DE-focused country page"
content/blog/impuestos-srl-guia-2025-emprendedores-extranjeros.es.mdx,/en/country/es-entrepreneurs-italy,"Spain entrepreneurs in Italy","Link Spanish article to ES country page"
client/src/components/BlogSection.tsx,/en/pillar/how-to-start-business-in-italy-2025,"how to start a business in Italy","Add pillar link in blog teaser or featured area"
content/blog/taxes-srl-guide-2025-nouveaux-entrepreneurs-etrangers.fr.mdx,/en/country/fr-entrepreneurs-italy,"France entrepreneurs in Italy","Link French article to FR country page (create if needed)"
content/blog/como-abrir-negocio-italia-extranjero-guia-completa-2025.es.mdx,/en/pillar/how-to-start-business-in-italy-2025,"start business in Italy as a foreigner","Spanish article -> English pillar cross-link for international visitors"
